Bandwidth,V_j+V_n,V_std
0.4,4.77E-16,1.68E-17
9,2.60E-15,1.91E-17
28,6.80E-15,2.73E-17
105,2.58E-14,5.12E-16
258,6.15E-14,1.59E-15
278,6.45E-14,7.72E-16
333,8.06E-14,1.29E-15
355,8.29E-14,1.62E-15
784,1.83E-13,2.35E-15
1000,2.34E-13,3.03E-15
1051,2.49E-13,1.46E-15
1077,2.50E-13,2.92E-15
1100,2.55E-13,3.16E-15
2576,6.02E-13,3.11E-15
3332,7.77E-13,5.04E-15
3554,8.30E-13,6.05E-15
3632,8.48E-13,5.96E-15
3654,8.50E-13,6.11E-15
7839,1.82E-12,3.90E-15
9997,2.31E-12,1.04E-14
10774,2.49E-12,7.48E-15
10996,2.53E-12,1.28E-14
11074,2.55E-12,9.89E-15
11096,2.55E-12,9.18E-15
33324,7.84E-12,1.52E-14
35543,8.33E-12,1.63E-14
36543,8.55E-12,1.67E-14
36620,8.56E-12,2.26E-14
36643,8.56E-12,2.47E-14
39321,8.49E-12,2.16E-14
107740,2.32E-11,4.15E-14
109961,2.62E-11,2.85E-14
110739,2.63E-11,3.21E-14
110961,2.63E-11,4.72E-14
111039,2.63E-11,5.25E-14
111061,2.63E-11,4.80E-14
