|f2-f1| (Hz),V_j+V_n,V_std
0,6.45E-14,7.72E-16
30,2.58E-14,5.12E-16
230,6.15E-14,1.59E-15
300,8.06E-14,1.29E-15
300,2.49E-13,1.46E-15
320,8.29E-14,1.62E-15
670,2.60E-15,1.91E-17
700,1.83E-13,2.35E-15
900,2.34E-13,3.03E-15
970,2.50E-13,2.92E-15
990,2.55E-13,3.16E-15
2000,6.80E-15,2.73E-17
2300,6.02E-13,3.11E-15
2670,4.77E-16,1.68E-17
3000,7.77E-13,5.04E-15
3200,8.30E-13,6.05E-15
3270,8.48E-13,5.96E-15
3290,8.50E-13,6.11E-15
7000,1.82E-12,3.90E-15
9000,2.31E-12,1.04E-14
9700,2.49E-12,7.48E-15
9900,2.53E-12,1.28E-14
9970,2.55E-12,9.89E-15
9990,2.55E-12,9.18E-15
30000,7.84E-12,1.52E-14
32000,8.33E-12,1.63E-14
32700,8.49E-12,2.16E-14
32900,8.55E-12,1.67E-14
32970,8.56E-12,2.26E-14
32990,8.56E-12,2.47E-14
97000,2.32E-11,4.15E-14
99000,2.62E-11,2.85E-14
99700,2.63E-11,3.21E-14
99900,2.63E-11,4.72E-14
99970,2.63E-11,5.25E-14
99990,2.63E-11,4.80E-14
