I (Ampere),B1 (gauss * 10),B2 (gauss * 10),B3 (gauss * 10),B4 (gauss * 10),B5 (gauss * 10)
0,-45,-45,-45,-46,-46
0.1,-20,-21,-22,-21,-21
0.2,4,4,4,2,5
0.3,31,32,32,30,32
0.4,57,58,58,58,59
0.5,86,86,87,83,85
0.6,116,117,118,117,115
0.7,144,147,144,145,142
0.8,174,178,174,174,173
0.9,202,207,200,200,203
1,232,230,230,232,230
1.1,264,262,262,260,259
1.2,293,288,289,289,289
1.3,320,320,320,319,319
1.4,351,349,349,351,349
1.5,379,381,379,378,378
1.6,407,408,412,408,408
1.7,438,436,437,436,437
1.8,467,465,465,463,466
1.9,496,492,493,493,493
2,522,524,522,521,521
