Voltage (V),Current (A),OD_1 (mm),ID_1 (mm),OD_2 (mm),ID_2 (mm),OD_3 (mm),ID_3 (mm),D1,D2,D3,D
100,1,88,80,91,79,89,80,84,85,84.5,84.5
110,1,89,80,91,80,90,80,84.5,85.5,85,85
120,1,91,80,92,81,92,78,85.5,86.5,85,85.66666667
130,1,91,79,91,80,92,82,85,85.5,87,85.83333333
140,1,92,78,92,79,92,84,85,85.5,88,86.16666667
150,1,93,82,93,80,94,79,87.5,86.5,86.5,86.83333333
160,1,93,80,94,82,93,80,86.5,88,86.5,87
170,1,93,78,93,85,97,81,85.5,89,89,87.83333333
180,1,94,83,93,80,97,80,88.5,86.5,88.5,87.83333333
190,1,95,85,96,85,92,82,90,90.5,87,89.16666667
200,1,98,82,95,83,96,83,90,89,89.5,89.5
210,1,97,86,98,82,98,87,91.5,90,92.5,91.33333333
220,1,104,87,101,88,103,90,95.5,94.5,96.5,95.5
230,1,105,90,105,90,105,90,97.5,97.5,97.5,97.5
240,1,105,94,104,93,108,92,99.5,98.5,100,99.33333333
250,1,106,93,105,93,107,95,99.5,99,101,99.83333333
,,,,,,\,,,,,
